======================================================================
			Matrix 74181.020
======================================================================
1472  mhs trovati:

Card. minima degli mhs: 3
Card. massima degli mhs: 5
----------------------------------------------------------------------
Dimensione iniziale della matrice: (12, 65)
Dimensione finale della matrice: (11, 38)

Colonne eliminate: ['1(z1)', '2(z2)', '3(z3)', '8(z8)', '9(z9)', '12(z12)', '13(z13)', '14(z14)', '16(z16)', '17(z17)', '19(z19)', '20(z20)', '21(z21)', '22(z22)', '24(z24)', '25(z25)', '30(z30)', '32(z32)', '49(z48)', '50(z49)', '51(z50)', '52(z51)', '53(z52)', '59(z57)', '63(o6)', '64(o7)', '65(o8)']
Righe eliminate: [10]
----------------------------------------------------------------------
Execution time: 36.60646033287048 seconds
Pre elaboration time: 0.0 seconds
Used memory:  66.37109375  Megabyte
----------------------------------------------------------------------
Lista degli mhs trovati: 

6(z6),38(z38),39(o1)
6(z6),39(o1),55(z53)
6(z6),39(o1),56(z54)
6(z6),39(o1),60(o3)
7(z7),38(z38),39(o1)
7(z7),39(o1),55(z53)
7(z7),39(o1),56(z54)
7(z7),39(o1),60(o3)
26(z26),38(z38),39(o1)
26(z26),39(o1),55(z53)
26(z26),39(o1),56(z54)
26(z26),39(o1),60(o3)
38(z38),39(o1),40(z39)
38(z38),39(o1),41(z40)
38(z38),39(o1),42(z41)
38(z38),39(o1),43(z42)
38(z38),39(o1),44(z43)
38(z38),39(o1),57(z55)
38(z38),39(o1),61(o4)
39(o1),40(z39),55(z53)
39(o1),40(z39),56(z54)
39(o1),40(z39),60(o3)
39(o1),41(z40),55(z53)
39(o1),41(z40),56(z54)
39(o1),41(z40),60(o3)
39(o1),42(z41),55(z53)
39(o1),42(z41),56(z54)
39(o1),42(z41),60(o3)
39(o1),43(z42),55(z53)
39(o1),43(z42),56(z54)
39(o1),43(z42),60(o3)
39(o1),44(z43),55(z53)
39(o1),44(z43),56(z54)
39(o1),44(z43),60(o3)
39(o1),55(z53),57(z55)
39(o1),55(z53),61(o4)
39(o1),56(z54),57(z55)
39(o1),56(z54),61(o4)
39(o1),57(z55),60(o3)
39(o1),60(o3),61(o4)
4(z4),11(z11),15(z15),38(z38)
4(z4),11(z11),15(z15),55(z53)
4(z4),11(z11),15(z15),56(z54)
4(z4),11(z11),15(z15),60(o3)
4(z4),11(z11),29(z29),38(z38)
4(z4),11(z11),29(z29),55(z53)
4(z4),11(z11),29(z29),56(z54)
4(z4),11(z11),29(z29),60(o3)
4(z4),11(z11),34(z34),38(z38)
4(z4),11(z11),34(z34),55(z53)
4(z4),11(z11),34(z34),56(z54)
4(z4),11(z11),34(z34),60(o3)
4(z4),11(z11),36(z36),38(z38)
4(z4),11(z11),36(z36),55(z53)
4(z4),11(z11),36(z36),56(z54)
4(z4),11(z11),36(z36),60(o3)
4(z4),11(z11),37(z37),38(z38)
4(z4),11(z11),37(z37),55(z53)
4(z4),11(z11),37(z37),56(z54)
4(z4),11(z11),37(z37),60(o3)
4(z4),11(z11),38(z38),39(o1)
4(z4),11(z11),38(z38),40(z39)
4(z4),11(z11),38(z38),41(z40)
4(z4),11(z11),38(z38),42(z41)
4(z4),11(z11),38(z38),43(z42)
4(z4),11(z11),38(z38),44(z43)
4(z4),11(z11),38(z38),54(o2)
4(z4),11(z11),38(z38),57(z55)
4(z4),11(z11),38(z38),61(o4)
4(z4),11(z11),39(o1),55(z53)
4(z4),11(z11),39(o1),56(z54)
4(z4),11(z11),39(o1),60(o3)
4(z4),11(z11),40(z39),55(z53)
4(z4),11(z11),40(z39),56(z54)
4(z4),11(z11),40(z39),60(o3)
4(z4),11(z11),41(z40),55(z53)
4(z4),11(z11),41(z40),56(z54)
4(z4),11(z11),41(z40),60(o3)
4(z4),11(z11),42(z41),55(z53)
4(z4),11(z11),42(z41),56(z54)
4(z4),11(z11),42(z41),60(o3)
4(z4),11(z11),43(z42),55(z53)
4(z4),11(z11),43(z42),56(z54)
4(z4),11(z11),43(z42),60(o3)
4(z4),11(z11),44(z43),55(z53)
4(z4),11(z11),44(z43),56(z54)
4(z4),11(z11),44(z43),60(o3)
4(z4),11(z11),54(o2),55(z53)
4(z4),11(z11),54(o2),56(z54)
4(z4),11(z11),54(o2),60(o3)
4(z4),11(z11),55(z53),57(z55)
4(z4),11(z11),55(z53),61(o4)
4(z4),11(z11),56(z54),57(z55)
4(z4),11(z11),56(z54),61(o4)
4(z4),11(z11),57(z55),60(o3)
4(z4),11(z11),60(o3),61(o4)
4(z4),15(z15),28(z28),38(z38)
4(z4),15(z15),28(z28),55(z53)
4(z4),15(z15),28(z28),56(z54)
4(z4),15(z15),28(z28),60(o3)
4(z4),28(z28),29(z29),38(z38)
4(z4),28(z28),29(z29),55(z53)
4(z4),28(z28),29(z29),56(z54)
4(z4),28(z28),29(z29),60(o3)
4(z4),28(z28),34(z34),38(z38)
4(z4),28(z28),34(z34),55(z53)
4(z4),28(z28),34(z34),56(z54)
4(z4),28(z28),34(z34),60(o3)
4(z4),28(z28),36(z36),38(z38)
4(z4),28(z28),36(z36),55(z53)
4(z4),28(z28),36(z36),56(z54)
4(z4),28(z28),36(z36),60(o3)
4(z4),28(z28),37(z37),38(z38)
4(z4),28(z28),37(z37),55(z53)
4(z4),28(z28),37(z37),56(z54)
4(z4),28(z28),37(z37),60(o3)
4(z4),28(z28),38(z38),39(o1)
4(z4),28(z28),38(z38),40(z39)
4(z4),28(z28),38(z38),41(z40)
4(z4),28(z28),38(z38),42(z41)
4(z4),28(z28),38(z38),43(z42)
4(z4),28(z28),38(z38),44(z43)
4(z4),28(z28),38(z38),54(o2)
4(z4),28(z28),38(z38),57(z55)
4(z4),28(z28),38(z38),61(o4)
4(z4),28(z28),39(o1),55(z53)
4(z4),28(z28),39(o1),56(z54)
4(z4),28(z28),39(o1),60(o3)
4(z4),28(z28),40(z39),55(z53)
4(z4),28(z28),40(z39),56(z54)
4(z4),28(z28),40(z39),60(o3)
4(z4),28(z28),41(z40),55(z53)
4(z4),28(z28),41(z40),56(z54)
4(z4),28(z28),41(z40),60(o3)
4(z4),28(z28),42(z41),55(z53)
4(z4),28(z28),42(z41),56(z54)
4(z4),28(z28),42(z41),60(o3)
4(z4),28(z28),43(z42),55(z53)
4(z4),28(z28),43(z42),56(z54)
4(z4),28(z28),43(z42),60(o3)
4(z4),28(z28),44(z43),55(z53)
4(z4),28(z28),44(z43),56(z54)
4(z4),28(z28),44(z43),60(o3)
4(z4),28(z28),54(o2),55(z53)
4(z4),28(z28),54(o2),56(z54)
4(z4),28(z28),54(o2),60(o3)
4(z4),28(z28),55(z53),57(z55)
4(z4),28(z28),55(z53),61(o4)
4(z4),28(z28),56(z54),57(z55)
4(z4),28(z28),56(z54),61(o4)
4(z4),28(z28),57(z55),60(o3)
4(z4),28(z28),60(o3),61(o4)
5(z5),11(z11),15(z15),38(z38)
5(z5),11(z11),15(z15),55(z53)
5(z5),11(z11),15(z15),56(z54)
5(z5),11(z11),15(z15),60(o3)
5(z5),11(z11),29(z29),38(z38)
5(z5),11(z11),29(z29),55(z53)
5(z5),11(z11),29(z29),56(z54)
5(z5),11(z11),29(z29),60(o3)
5(z5),11(z11),34(z34),38(z38)
5(z5),11(z11),34(z34),55(z53)
5(z5),11(z11),34(z34),56(z54)
5(z5),11(z11),34(z34),60(o3)
5(z5),11(z11),37(z37),38(z38)
5(z5),11(z11),37(z37),55(z53)
5(z5),11(z11),37(z37),56(z54)
5(z5),11(z11),37(z37),60(o3)
5(z5),11(z11),38(z38),39(o1)
5(z5),11(z11),38(z38),40(z39)
5(z5),11(z11),38(z38),41(z40)
5(z5),11(z11),38(z38),42(z41)
5(z5),11(z11),38(z38),43(z42)
5(z5),11(z11),38(z38),44(z43)
5(z5),11(z11),38(z38),54(o2)
5(z5),11(z11),38(z38),57(z55)
5(z5),11(z11),38(z38),61(o4)
5(z5),11(z11),39(o1),55(z53)
5(z5),11(z11),39(o1),56(z54)
5(z5),11(z11),39(o1),60(o3)
5(z5),11(z11),40(z39),55(z53)
5(z5),11(z11),40(z39),56(z54)
5(z5),11(z11),40(z39),60(o3)
5(z5),11(z11),41(z40),55(z53)
5(z5),11(z11),41(z40),56(z54)
5(z5),11(z11),41(z40),60(o3)
5(z5),11(z11),42(z41),55(z53)
5(z5),11(z11),42(z41),56(z54)
5(z5),11(z11),42(z41),60(o3)
5(z5),11(z11),43(z42),55(z53)
5(z5),11(z11),43(z42),56(z54)
5(z5),11(z11),43(z42),60(o3)
5(z5),11(z11),44(z43),55(z53)
5(z5),11(z11),44(z43),56(z54)
5(z5),11(z11),44(z43),60(o3)
5(z5),11(z11),54(o2),55(z53)
5(z5),11(z11),54(o2),56(z54)
5(z5),11(z11),54(o2),60(o3)
5(z5),11(z11),55(z53),57(z55)
5(z5),11(z11),55(z53),61(o4)
5(z5),11(z11),56(z54),57(z55)
5(z5),11(z11),56(z54),61(o4)
5(z5),11(z11),57(z55),60(o3)
5(z5),11(z11),60(o3),61(o4)
5(z5),15(z15),28(z28),38(z38)
5(z5),15(z15),28(z28),55(z53)
5(z5),15(z15),28(z28),56(z54)
5(z5),15(z15),28(z28),60(o3)
5(z5),28(z28),29(z29),38(z38)
5(z5),28(z28),29(z29),55(z53)
5(z5),28(z28),29(z29),56(z54)
5(z5),28(z28),29(z29),60(o3)
5(z5),28(z28),34(z34),38(z38)
5(z5),28(z28),34(z34),55(z53)
5(z5),28(z28),34(z34),56(z54)
5(z5),28(z28),34(z34),60(o3)
5(z5),28(z28),37(z37),38(z38)
5(z5),28(z28),37(z37),55(z53)
5(z5),28(z28),37(z37),56(z54)
5(z5),28(z28),37(z37),60(o3)
5(z5),28(z28),38(z38),39(o1)
5(z5),28(z28),38(z38),40(z39)
5(z5),28(z28),38(z38),41(z40)
5(z5),28(z28),38(z38),42(z41)
5(z5),28(z28),38(z38),43(z42)
5(z5),28(z28),38(z38),44(z43)
5(z5),28(z28),38(z38),54(o2)
5(z5),28(z28),38(z38),57(z55)
5(z5),28(z28),38(z38),61(o4)
5(z5),28(z28),39(o1),55(z53)
5(z5),28(z28),39(o1),56(z54)
5(z5),28(z28),39(o1),60(o3)
5(z5),28(z28),40(z39),55(z53)
5(z5),28(z28),40(z39),56(z54)
5(z5),28(z28),40(z39),60(o3)
5(z5),28(z28),41(z40),55(z53)
5(z5),28(z28),41(z40),56(z54)
5(z5),28(z28),41(z40),60(o3)
5(z5),28(z28),42(z41),55(z53)
5(z5),28(z28),42(z41),56(z54)
5(z5),28(z28),42(z41),60(o3)
5(z5),28(z28),43(z42),55(z53)
5(z5),28(z28),43(z42),56(z54)
5(z5),28(z28),43(z42),60(o3)
5(z5),28(z28),44(z43),55(z53)
5(z5),28(z28),44(z43),56(z54)
5(z5),28(z28),44(z43),60(o3)
5(z5),28(z28),54(o2),55(z53)
5(z5),28(z28),54(o2),56(z54)
5(z5),28(z28),54(o2),60(o3)
5(z5),28(z28),55(z53),57(z55)
5(z5),28(z28),55(z53),61(o4)
5(z5),28(z28),56(z54),57(z55)
5(z5),28(z28),56(z54),61(o4)
5(z5),28(z28),57(z55),60(o3)
5(z5),28(z28),60(o3),61(o4)
10(z10),11(z11),38(z38),39(o1)
10(z10),11(z11),38(z38),54(o2)
10(z10),11(z11),39(o1),55(z53)
10(z10),11(z11),39(o1),56(z54)
10(z10),11(z11),39(o1),60(o3)
10(z10),11(z11),54(o2),55(z53)
10(z10),11(z11),54(o2),56(z54)
10(z10),11(z11),54(o2),60(o3)
10(z10),28(z28),38(z38),39(o1)
10(z10),28(z28),38(z38),54(o2)
10(z10),28(z28),39(o1),55(z53)
10(z10),28(z28),39(o1),56(z54)
10(z10),28(z28),39(o1),60(o3)
10(z10),28(z28),54(o2),55(z53)
10(z10),28(z28),54(o2),56(z54)
10(z10),28(z28),54(o2),60(o3)
10(z10),34(z34),38(z38),39(o1)
10(z10),34(z34),39(o1),55(z53)
10(z10),34(z34),39(o1),56(z54)
10(z10),34(z34),39(o1),60(o3)
10(z10),35(z35),38(z38),39(o1)
10(z10),35(z35),39(o1),55(z53)
10(z10),35(z35),39(o1),56(z54)
10(z10),35(z35),39(o1),60(o3)
10(z10),38(z38),39(o1),54(o2)
10(z10),39(o1),54(o2),55(z53)
10(z10),39(o1),54(o2),56(z54)
10(z10),39(o1),54(o2),60(o3)
11(z11),15(z15),18(z18),38(z38)
11(z11),15(z15),18(z18),55(z53)
11(z11),15(z15),18(z18),56(z54)
11(z11),15(z15),18(z18),60(o3)
11(z11),15(z15),23(z23),38(z38)
11(z11),15(z15),23(z23),55(z53)
11(z11),15(z15),23(z23),56(z54)
11(z11),15(z15),23(z23),60(o3)
11(z11),15(z15),31(z31),38(z38)
11(z11),15(z15),31(z31),55(z53)
11(z11),15(z15),31(z31),56(z54)
