======================================================================
			Matrix c1355.039
======================================================================
ATTENZIONE: L'esecuzione ha superato il limite di tempo 
======================================================================
8709  mhs trovati:

Card. minima degli mhs: 2
Card. massima degli mhs: 3

Card. massima analizzata: 3
----------------------------------------------------------------------
Dimensione iniziale della matrice: (5, 546)
Dimensione finale della matrice: (5, 546)

Colonne eliminate: []
Righe eliminate: []
----------------------------------------------------------------------
Execution time: 300.140319108963 seconds
Pre elaboration time: -1 seconds
Used memory:  132.21484375  Megabyte
----------------------------------------------------------------------
Lista degli mhs trovati: 

362(z362),382(z382)
362(z362),414(z414)
362(z362),473(z473)
362(z362),510(z510)
362(z362),542(o28)
382(z382),433(z433)
382(z382),434(z434)
382(z382),490(z490)
382(z382),522(o8)
414(z414),433(z433)
414(z414),434(z434)
414(z414),490(z490)
414(z414),522(o8)
433(z433),473(z473)
433(z433),510(z510)
433(z433),542(o28)
434(z434),473(z473)
434(z434),510(z510)
434(z434),542(o28)
473(z473),490(z490)
473(z473),522(o8)
490(z490),510(z510)
490(z490),542(o28)
510(z510),522(o8)
522(o8),542(o28)
4(z4),7(z7),11(z11)
4(z4),7(z7),12(z12)
4(z4),7(z7),46(z46)
4(z4),7(z7),47(z47)
4(z4),7(z7),107(z107)
4(z4),7(z7),108(z108)
4(z4),7(z7),138(z138)
4(z4),7(z7),155(z155)
4(z4),7(z7),156(z156)
4(z4),7(z7),186(z186)
4(z4),7(z7),382(z382)
4(z4),7(z7),414(z414)
4(z4),7(z7),473(z473)
4(z4),7(z7),510(z510)
4(z4),7(z7),542(o28)
4(z4),8(z8),10(z10)
4(z4),8(z8),41(z41)
4(z4),8(z8),42(z42)
4(z4),8(z8),43(z43)
4(z4),8(z8),44(z44)
4(z4),8(z8),105(z105)
4(z4),8(z8),106(z106)
4(z4),8(z8),153(z153)
4(z4),8(z8),154(z154)
4(z4),8(z8),185(z185)
4(z4),10(z10),11(z11)
4(z4),10(z10),12(z12)
4(z4),10(z10),15(z15)
4(z4),10(z10),16(z16)
4(z4),10(z10),39(z39)
4(z4),10(z10),40(z40)
4(z4),10(z10),46(z46)
4(z4),10(z10),47(z47)
4(z4),10(z10),53(z53)
4(z4),10(z10),54(z54)
4(z4),10(z10),55(z55)
4(z4),10(z10),101(z101)
4(z4),10(z10),102(z102)
4(z4),10(z10),103(z103)
4(z4),10(z10),107(z107)
4(z4),10(z10),108(z108)
4(z4),10(z10),111(z111)
4(z4),10(z10),112(z112)
4(z4),10(z10),135(z135)
4(z4),10(z10),136(z136)
4(z4),10(z10),138(z138)
4(z4),10(z10),140(z140)
4(z4),10(z10),152(z152)
4(z4),10(z10),155(z155)
4(z4),10(z10),156(z156)
4(z4),10(z10),160(z160)
4(z4),10(z10),184(z184)
4(z4),10(z10),186(z186)
4(z4),10(z10),188(z188)
4(z4),10(z10),200(z200)
4(z4),10(z10),204(z204)
4(z4),10(z10),216(z216)
4(z4),10(z10),228(z228)
4(z4),10(z10),240(z240)
4(z4),10(z10),256(z256)
4(z4),10(z10),264(z264)
4(z4),10(z10),272(z272)
4(z4),10(z10),287(z287)
4(z4),10(z10),288(z288)
4(z4),10(z10),294(z294)
4(z4),10(z10),382(z382)
4(z4),10(z10),414(z414)
4(z4),10(z10),473(z473)
4(z4),10(z10),510(z510)
4(z4),10(z10),542(o28)
4(z4),11(z11),13(z13)
4(z4),11(z11),14(z14)
4(z4),11(z11),37(z37)
4(z4),11(z11),41(z41)
4(z4),11(z11),42(z42)
4(z4),11(z11),43(z43)
4(z4),11(z11),44(z44)
4(z4),11(z11),50(z50)
4(z4),11(z11),51(z51)
4(z4),11(z11),52(z52)
4(z4),11(z11),97(z97)
4(z4),11(z11),98(z98)
4(z4),11(z11),99(z99)
4(z4),11(z11),100(z100)
4(z4),11(z11),105(z105)
4(z4),11(z11),106(z106)
4(z4),11(z11),109(z109)
4(z4),11(z11),110(z110)
4(z4),11(z11),133(z133)
4(z4),11(z11),134(z134)
4(z4),11(z11),139(z139)
4(z4),11(z11),153(z153)
4(z4),11(z11),154(z154)
4(z4),11(z11),157(z157)
4(z4),11(z11),181(z181)
4(z4),11(z11),182(z182)
4(z4),11(z11),185(z185)
4(z4),11(z11),187(z187)
4(z4),11(z11),199(z199)
4(z4),11(z11),203(z203)
4(z4),11(z11),214(z214)
4(z4),11(z11),227(z227)
4(z4),11(z11),239(z239)
4(z4),11(z11),254(z254)
4(z4),11(z11),263(z263)
4(z4),11(z11),271(z271)
4(z4),11(z11),286(z286)
4(z4),11(z11),295(z295)
4(z4),12(z12),13(z13)
4(z4),12(z12),14(z14)
4(z4),12(z12),37(z37)
4(z4),12(z12),41(z41)
4(z4),12(z12),42(z42)
4(z4),12(z12),43(z43)
4(z4),12(z12),44(z44)
4(z4),12(z12),50(z50)
4(z4),12(z12),51(z51)
4(z4),12(z12),52(z52)
4(z4),12(z12),97(z97)
4(z4),12(z12),98(z98)
4(z4),12(z12),99(z99)
4(z4),12(z12),100(z100)
4(z4),12(z12),105(z105)
4(z4),12(z12),106(z106)
4(z4),12(z12),109(z109)
4(z4),12(z12),110(z110)
4(z4),12(z12),133(z133)
4(z4),12(z12),134(z134)
4(z4),12(z12),139(z139)
4(z4),12(z12),153(z153)
4(z4),12(z12),154(z154)
4(z4),12(z12),157(z157)
4(z4),12(z12),181(z181)
4(z4),12(z12),182(z182)
4(z4),12(z12),185(z185)
4(z4),12(z12),187(z187)
4(z4),12(z12),199(z199)
4(z4),12(z12),203(z203)
4(z4),12(z12),214(z214)
4(z4),12(z12),227(z227)
4(z4),12(z12),239(z239)
4(z4),12(z12),254(z254)
4(z4),12(z12),263(z263)
4(z4),12(z12),271(z271)
4(z4),12(z12),286(z286)
4(z4),12(z12),295(z295)
4(z4),13(z13),46(z46)
4(z4),13(z13),47(z47)
4(z4),13(z13),107(z107)
4(z4),13(z13),108(z108)
4(z4),13(z13),138(z138)
4(z4),13(z13),155(z155)
4(z4),13(z13),156(z156)
4(z4),13(z13),186(z186)
4(z4),13(z13),382(z382)
4(z4),13(z13),414(z414)
4(z4),13(z13),473(z473)
4(z4),13(z13),510(z510)
4(z4),13(z13),542(o28)
4(z4),14(z14),46(z46)
4(z4),14(z14),47(z47)
4(z4),14(z14),107(z107)
4(z4),14(z14),108(z108)
4(z4),14(z14),138(z138)
4(z4),14(z14),155(z155)
4(z4),14(z14),156(z156)
4(z4),14(z14),186(z186)
4(z4),14(z14),382(z382)
4(z4),14(z14),414(z414)
4(z4),14(z14),473(z473)
4(z4),14(z14),510(z510)
4(z4),14(z14),542(o28)
4(z4),15(z15),41(z41)
4(z4),15(z15),42(z42)
4(z4),15(z15),43(z43)
4(z4),15(z15),44(z44)
4(z4),15(z15),105(z105)
4(z4),15(z15),106(z106)
4(z4),15(z15),153(z153)
4(z4),15(z15),154(z154)
4(z4),15(z15),185(z185)
4(z4),16(z16),41(z41)
4(z4),16(z16),42(z42)
4(z4),16(z16),43(z43)
4(z4),16(z16),44(z44)
4(z4),16(z16),105(z105)
4(z4),16(z16),106(z106)
4(z4),16(z16),153(z153)
4(z4),16(z16),154(z154)
4(z4),16(z16),185(z185)
4(z4),37(z37),46(z46)
4(z4),37(z37),47(z47)
4(z4),37(z37),107(z107)
4(z4),37(z37),108(z108)
4(z4),37(z37),138(z138)
4(z4),37(z37),155(z155)
4(z4),37(z37),156(z156)
4(z4),37(z37),186(z186)
4(z4),37(z37),382(z382)
4(z4),37(z37),414(z414)
4(z4),37(z37),473(z473)
4(z4),37(z37),510(z510)
4(z4),37(z37),542(o28)
4(z4),39(z39),41(z41)
4(z4),39(z39),42(z42)
4(z4),39(z39),43(z43)
4(z4),39(z39),44(z44)
4(z4),39(z39),105(z105)
4(z4),39(z39),106(z106)
4(z4),39(z39),153(z153)
4(z4),39(z39),154(z154)
4(z4),39(z39),185(z185)
4(z4),40(z40),41(z41)
4(z4),40(z40),42(z42)
4(z4),40(z40),43(z43)
4(z4),40(z40),44(z44)
4(z4),40(z40),105(z105)
4(z4),40(z40),106(z106)
4(z4),40(z40),153(z153)
4(z4),40(z40),154(z154)
4(z4),40(z40),185(z185)
4(z4),41(z41),46(z46)
4(z4),41(z41),47(z47)
4(z4),41(z41),53(z53)
4(z4),41(z41),54(z54)
4(z4),41(z41),55(z55)
4(z4),41(z41),101(z101)
4(z4),41(z41),102(z102)
4(z4),41(z41),103(z103)
4(z4),41(z41),107(z107)
4(z4),41(z41),108(z108)
4(z4),41(z41),111(z111)
4(z4),41(z41),112(z112)
4(z4),41(z41),135(z135)
4(z4),41(z41),136(z136)
4(z4),41(z41),138(z138)
4(z4),41(z41),140(z140)
4(z4),41(z41),152(z152)
4(z4),41(z41),155(z155)
4(z4),41(z41),156(z156)
4(z4),41(z41),160(z160)
4(z4),41(z41),184(z184)
4(z4),41(z41),186(z186)
4(z4),41(z41),188(z188)
4(z4),41(z41),200(z200)
4(z4),41(z41),204(z204)
4(z4),41(z41),216(z216)
4(z4),41(z41),228(z228)
